world_rank,university_name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students_percent,female_male_ratio,year
88,"Royal Holloway, University of London",United Kingdom,37.7,92.9,36.2,93.2,30.5,57.9,"8,747.00",15.9,0.37,57 : 43,2011
89,Lund University,Sweden,46.3,56.8,60.8,67.6,33.2,57.8,"28,251.00",11.5,0.15,,2011
90,University of Southampton,United Kingdom,50.8,69,47.8,72.9,37.7,57.7,"20,925.00",13.5,0.29,53 : 47,2011
90,University of Zurich,Switzerland,56.6,87.9,47,65,43.8,57.7,"26,583.00",6.5,0.19,57 : 43,2011
90,Wake Forest University,United States of America,54.6,24.4,42.9,79.2,,57.7,"7,326.00",4.6,0.05,51 : 49,2011
93,McMaster University,Canada,44.7,,58.7,68.5,,57.6,"23,823.00",19.3,0.15,53 : 47,2011
94,University College Dublin,Republic of Ireland,42.4,87,36.6,86.3,,57.5,"22,193.00",24.5,0.23,,2011
95,George Washington University,United States of America,60.6,39.6,43.1,70.2,,57.3,"20,541.00",12,0.16,56 : 44,2011
95,University of Arizona,United States of America,52.4,21.9,52.2,70.1,84.2,57.3,"36,429.00",12.7,0.08,52 : 48,2011
95,University of Basel,Switzerland,50.2,91.3,37.1,78.3,45.8,57.3,"12,551.00",17.3,0.24,54 : 46,2011
98,"University of Maryland, College Park",United States of America,45.4,35.4,48.6,79.2,,57.2,"31,331.00",8.4,0.09,48 : 52,2011
99,Dartmouth College,United States of America,44.7,31,49.2,79.7,,57.1,"6,178.00",6.6,0.16,47 : 53,2011
100,École Normale Supérieure de Lyon,France,51.1,37.6,34.4,88.8,26.1,57,"2,218.00",8,0.14,49 : 51,2011
101,Technical University of Munich,Germany,50.4,85.3,43.2,71.2,,56.9,"35,565.00",31.5,0.20,33 : 67,2011
102,University of Helsinki,Finland,49,24.2,51.4,75.4,30.2,56.6,"23,505.00",15.1,0.06,66 : 34,2011
103,University of St Andrews,United Kingdom,44.8,85.7,47.7,72.9,32.6,56.5,"8,338.00",12.7,0.47,56 : 44,2011
104,Rensselaer Polytechnic Institute,United States of America,50.5,48,54.6,64.9,,56.4,"6,671.00",15,0.16,30 : 70,2011
105,"Rutgers, the State University of New Jersey",United States of America,53.4,26.8,64.7,55.7,,56.3,"37,032.00",17.3,0.08,51 : 49,2011
106,Purdue University,United States of America,57,62.6,67.8,43.9,,56.2,"39,256.00",18.1,0.22,42 : 58,2011
